URL,Text_1,Text_2,Text_3
www.gapers.it/ortoredirect/0056/,EVONIMO,Euonymus japonicus Thunb. ,Fam. Celastraceae
www.gapers.it/ortoredirect/0057/,FAGGIO,Fagus sylvatica L. ,Fam. Fagaceae
www.gapers.it/ortoredirect/0058/,FICO,Ficus carica L.,Fam. Moraceae
www.gapers.it/ortoredirect/0059/,FORSIZIA,Forsythia viridissima Lindl. ,Fam. Oleaceae
www.gapers.it/ortoredirect/0060/,FRANGOLA,Frangula alnus Mill.,Fam. Rhamnaceae
www.gapers.it/ortoredirect/0061/,FRASSINO ANGUSTIFOGLIA,Fraxinus angustilolium Vahl 1804,Fam. Oleaceae
www.gapers.it/ortoredirect/0062/,FRASSINO MAGGIORE,Fraxinus excelsior L. ,Fam. Oleaceae
www.gapers.it/ortoredirect/0063/,ORNO,Fraxinus ornus L.,Fam. Oleaceae
www.gapers.it/ortoredirect/0064/,FRASSINO MERIDIONALE,Fraxinus angustifolia Vahl subsp. oxycarpa (M.Bieb. ex Willd),Fam. Oleaceae
www.gapers.it/ortoredirect/0065/,GINKGO,Ginkgo biloba L. Mant.,Fam. Ginkgoaceae
www.gapers.it/ortoredirect/0066/,SPINO DI GIUDA,Gleditsia triacanthos L.,Fam. Fabaceae
www.gapers.it/ortoredirect/0067/,LUPPOLO,Humulus lupulus L. ,Fam. Cannabaceae
www.gapers.it/ortoredirect/0068/,IBISCO,Hibiscus syriacus L. ,Fam. Malvaceae
www.gapers.it/ortoredirect/0069/,ERBA DI SAN GIOVANNI,Hypericum perforatum L.,Fam. Hypericaceae
www.gapers.it/ortoredirect/0070/,AGRIFOGLIO,Ilex aquifolium L. ,Fam. Aquifoliaceae
www.gapers.it/ortoredirect/0071/,NOCE REGINA,Juglans regia L.,Fam. Juglandaceae
www.gapers.it/ortoredirect/0072/,NOCE NERO,Juglans nigra L.,Fam. Juglandaceae
www.gapers.it/ortoredirect/0073/,GINEPRO COMUNE,Juniperus communis L. ,Fam. Cupressaceae
www.gapers.it/ortoredirect/0074/,GINEPRO ROSSO,Juniperus oxycedrus L.,Fam. Cupressaceae
www.gapers.it/ortoredirect/0075/,GINEPRO SABINA,Juniperus sabina L.,Fam. Cupressaceae
www.gapers.it/ortoredirect/0076/,MAGGIOCIONDOLO,Laburnum anagyroides Medik.,Fam. Fabaceae
www.gapers.it/ortoredirect/0077/,ALLORO,Laurus nobilis L. ,Fam. Lauraceae
www.gapers.it/ortoredirect/0078/,LIGUSTRO,Ligustrum communis L.,Fam. Oleaceae
www.gapers.it/ortoredirect/0079/,LIGUSTRO LUCIDO,Ligustrum lucidum W.T.Aiton,Fam. Oleaceae
www.gapers.it/ortoredirect/0080/,LIGUSTRO GIAPPONESE,Ligustrum japonicum Thunb.,Fam. Oleaceae
www.gapers.it/ortoredirect/0081/,CAPRIFOGLIO COMUNE,Lonicera caprifolium L.,Fam. Caprifloliaceae
www.gapers.it/ortoredirect/0082/,CAPRIFOGLIO JAPONICO,Lonicera japonica Thunb.,Fam. Caprifloliaceae
www.gapers.it/ortoredirect/0083/,CAPRIFOGLIO MEDITERRANEO,Lonicera periclymenum L.,Fam. Caprifloliaceae
www.gapers.it/ortoredirect/0084/,CAPRIFOGLIO PELOSO,Lonicera xylosteum L.,Fam. Caprifloliaceae
